data_captura,hora_captura,indice,codigo,acao,tipo,qtde_teorica,part_pct
2026-06-01,19:11:23,IBOV,EMBJ3,EMBRAER,ON      NM,711.833.141,"2,162"
2026-06-01,19:11:23,IBOV,ENGI11,ENERGISA,UNT     N2,325.503.046,"0,647"
2026-06-01,19:11:23,IBOV,ENEV3,ENEVA,ON      NM,1.913.352.180,"2,030"
2026-06-01,19:11:23,IBOV,EGIE3,ENGIE BRASIL,ON      NM,357.310.487,"0,490"
2026-06-01,19:11:23,IBOV,EQTL3,EQUATORIAL,ON  ATZ NM,1.247.728.993,"1,991"
2026-06-01,19:11:23,IBOV,FLRY3,FLEURY,ON      NM,447.150.822,"0,285"
2026-06-01,19:11:23,IBOV,GGBR4,GERDAU,PN      N1,1.258.208.269,"1,186"
2026-06-01,19:11:23,IBOV,GOAU4,GERDAU MET,PN      N1,830.837.767,"0,337"
2026-06-01,19:11:23,IBOV,HAPV3,HAPVIDA,ON      NM,271.662.290,"0,137"
2026-06-01,19:11:23,IBOV,HYPE3,HYPERA,ON      NM,321.083.946,"0,291"
2026-06-01,19:11:23,IBOV,IGTI11,IGUATEMI S.A,UNT     N1,205.800.982,"0,221"
2026-06-01,19:11:23,IBOV,ISAE4,ISA ENERGIA,PN      N1,415.568.772,"0,465"
2026-06-01,19:11:23,IBOV,ITSA4,ITAUSA,PN  EJ  N1,5.970.738.360,"3,189"
2026-06-01,19:11:23,IBOV,ITUB4,ITAUUNIBANCO,PN  EJ  N1,5.050.269.111,"8,368"
2026-06-01,19:11:23,IBOV,KLBN11,KLABIN S/A,UNT     N2,804.572.623,"0,555"
2026-06-01,19:11:23,IBOV,RENT3,LOCALIZA,ON      NM,978.479.038,"1,702"
2026-06-01,19:11:23,IBOV,LREN3,LOJAS RENNER,ON      NM,982.593.716,"0,607"
2026-06-01,19:11:23,IBOV,MGLU3,MAGAZ LUIZA,ON      NM,373.155.063,"0,092"
2026-06-01,19:11:23,IBOV,POMO4,MARCOPOLO,PN      N2,728.266.241,"0,183"
2026-06-01,19:11:23,IBOV,MBRF3,MARFRIG,ON      NM,761.175.338,"0,505"
2026-06-01,19:11:23,IBOV,BEEF3,MINERVA,ON      NM,454.804.863,"0,069"
2026-06-01,19:11:23,IBOV,MOTV3,MOTIVA SA,ON      NM,1.002.196.725,"0,585"
2026-06-01,19:11:23,IBOV,MRVE3,MRV,ON      NM,374.681.353,"0,091"
2026-06-01,19:11:23,IBOV,MULT3,MULTIPLAN,ON      N2,320.022.221,"0,395"
2026-06-01,19:11:23,IBOV,NATU3,NATURA,ON      NM,838.359.453,"0,345"
2026-06-01,19:11:23,IBOV,PETR3,PETROBRAS,ON      N2,2.237.877.167,"4,329"
2026-06-01,19:11:23,IBOV,PETR4,PETROBRAS,PN  ATZ N2,4.410.960.450,"7,670"
2026-06-01,19:11:23,IBOV,RECV3,PETRORECSA,ON      NM,274.624.898,"0,129"
2026-06-01,19:11:23,IBOV,PSSA3,PORTO SEGURO,ON      NM,178.825.403,"0,358"
2026-06-01,19:11:23,IBOV,PRIO3,PRIO,ON      NM,757.265.605,"1,952"
2026-06-01,19:11:23,IBOV,RADL3,RAIADROGASIL,ON      NM,1.313.915.830,"1,017"
2026-06-01,19:11:23,IBOV,RDOR3,REDE D OR,ON      NM,1.091.469.308,"1,537"
2026-06-01,19:11:23,IBOV,RAIL3,RUMO S.A.,ON      NM,1.221.155.293,"0,693"
2026-06-01,19:11:23,IBOV,SBSP3,SABESP,ON      NM,2.870.627.990,"3,322"
2026-06-01,19:11:23,IBOV,SANB11,SANTANDER BR,UNT,360.347.199,"0,405"
2026-06-01,19:11:23,IBOV,CSNA3,SID NACIONAL,ON,727.975.012,"0,202"
2026-06-01,19:11:23,IBOV,SLCE3,SLC AGRICOLA,ON      NM,220.403.658,"0,141"
2026-06-01,19:11:23,IBOV,SMFT3,SMART FIT,ON      NM,556.651.316,"0,427"
2026-06-01,19:11:23,IBOV,SUZB3,SUZANO S.A.,ON      NM,612.918.471,"1,063"
2026-06-01,19:11:23,IBOV,TAEE11,TAESA,UNT     N2,218.568.234,"0,355"
2026-06-01,19:11:23,IBOV,VIVT3,TELEF BRASIL,ON  ERJ,707.125.712,"0,990"
2026-06-01,19:11:23,IBOV,TIMS3,TIM,ON      NM,777.451.080,"0,705"
2026-06-01,19:11:23,IBOV,TOTS3,TOTVS,ON      NM,533.997.411,"0,731"
2026-06-01,19:11:23,IBOV,UGPA3,ULTRAPAR,ON      NM,1.067.870.496,"1,144"
2026-06-01,19:11:23,IBOV,USIM5,USIMINAS,PNA     N1,518.256.757,"0,238"
2026-06-01,19:11:23,IBOV,VALE3,VALE,ON      NM,3.535.764.048,"12,123"
2026-06-01,19:11:23,IBOV,VAMO3,VAMOS,ON      NM,448.052.066,"0,057"
2026-06-01,19:11:23,IBOV,VBBR3,VIBRA,ON      NM,1.192.004.780,"1,468"
2026-06-01,19:11:23,IBOV,VIVA3,VIVARA S.A.,ON      NM,123.698.325,"0,111"
2026-06-01,19:11:23,IBOV,WEGE3,WEG,ON      NM,1.485.954.732,"2,713"
2026-06-01,19:11:23,IBOV,YDUQ3,YDUQS PART,ON      NM,261.365.845,"0,103"
