data_captura,data_referencia,indice,numero_indice,variacao_diaria,variacao_mensal,variacao_anual,variacao_ultimos_12_meses,variacao_ultimos_24_meses,duration_du,peso_geral,carteira_a_mercado_rs_mil,numero_operacoes,quant_negociada_1000_titulos,valor_negociado_rs_mil,pmr,convexidade,yield_,redemption_yield
2026-06-06,2026-06-05,IRF-M 1+,23981.03043600,-0.6172,-1.8637,1.9921,11.0502,19.1880,781,15.58,1281555267,,,,1219.83107368918,12.4322658832733,14.7258413697078,14.7618173444394
2026-06-06,2026-06-05,IRF-M,22247.36422000,-0.4365,-1.3083,2.9688,11.9979,21.7885,584,21.83,1795566731,,,,909.842477585162,9.00480962915949,14.6038368825835,14.7385195120292
2026-06-06,2026-06-05,IMA-B 5,11233.85435600,-0.2444,-0.6317,5.5801,11.9568,21.5784,460,10.39,854655243,,,,681.859012544313,6.22748072322348,9.12394451369439,8.60083069103692
2026-06-06,2026-06-05,IMA-B 5+,12249.69252300,-1.4143,-3.0503,1.1587,6.3064,9.2966,2389,12.74,1047655745,,,,4714.89076492055,130.511037696428,7.87429356322174,7.79409961437106
2026-06-06,2026-06-05,IMA-B,11276.80796000,-0.8921,-1.9784,3.0959,8.7684,14.3119,1523,23.13,1902310988,,,,2902.96214027996,74.6739036795143,8.43572686377451,7.903631407175
2026-06-06,2026-06-05,IMA-S,8621.01460600,0.0537,0.2154,5.9924,14.9663,28.9618,1,53.97,4438703990,,,,1,0,,
2026-06-06,2026-06-05,IMA-GERAL-EX-C,9895.50126500,-0.2771,-0.6444,4.6006,12.7690,23.4759,486,98.93,8136581710,,,,880.032748450117,19.4457242280341,,
2026-06-06,2026-06-05,IMA-GERAL,10037.98460400,-0.2739,-0.6372,4.6233,12.6898,23.3719,490,100.00,8224578769,,,,885.266003886422,19.4062990660064,,
2026-06-08,2026-06-05,IRF-M 1,20159.63313700,0.0169,0.1064,5.5435,14.3523,27.5549,94,6.25,514011465,185,24800.41,23182383.92,136.965712623449,0.45932977918992,14.2996501011839,14.2550944154441
2026-06-08,2026-06-05,IRF-M 1+,23981.03043600,-0.6172,-1.8637,1.9921,11.0502,19.1880,781,15.58,1281555267,840,73277.24,50876535.37,1219.83107368918,12.4322658832733,14.7258413697078,14.7618173444394
2026-06-08,2026-06-05,IRF-M,22247.36422000,-0.4365,-1.3083,2.9688,11.9979,21.7885,584,21.83,1795566731,1025,98077.64,74058919.29,909.842477585162,9.00480962915949,14.6038368825835,14.7385195120292
2026-06-08,2026-06-05,IMA-B 5,11233.85435600,-0.2444,-0.6317,5.5801,11.9568,21.5784,460,10.39,854655243,2752,9887.03,44676392.99,681.859012544313,6.22748072322348,9.12394451369439,8.60083069103692
2026-06-08,2026-06-05,IMA-B 5+,12249.69252300,-1.4143,-3.0503,1.1587,6.3064,9.2966,2389,12.74,1047655745,1323,1491.58,6279162.34,4714.89076492055,130.511037696428,7.87429356322174,7.79409961437106
2026-06-08,2026-06-05,IMA-B,11276.80796000,-0.8921,-1.9784,3.0959,8.7684,14.3119,1523,23.13,1902310988,4075,11378.61,50955555.33,2902.96214027996,74.6739036795143,8.43572686377451,7.903631407175
2026-06-08,2026-06-05,IMA-S,8621.01460600,0.0537,0.2154,5.9924,14.9663,28.9618,1,53.97,4438703990,538,2389.87,45591400.87,1,0,,
