data_captura,data_referencia,tipo_ativo,codigo,isin,limite_quantidade
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEGU39,BRBEGUBDR004,2559000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEMC39,BRBEMCBDR000,2927000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEMV39,BRBEMVBDR000,741000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BERK34,BRBERKBDR002,1487000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWA39,BRBEWABDR003,2464000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWC39,BRBEWCBDR009,3145000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWG39,BRBEWGBDR000,2520000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWH39,BRBEWHBDR008,5098000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWJ39,BRBEWJBDR004,3827000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWL39,BRBEWLBDR000,979000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWT39,BRBEWTBDR003,3948000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWU39,BRBEWUBDR001,1897000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWW39,BRBEWWBDR007,2313000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWY39,BRBEWYBDR003,4624000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEWZ39,BRBEWZBDR000,3795000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BEZU39,BRBEZUBDR004,2390000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BFAV39,BRBFAVBDR002,1600000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BFDA39,BRBFDABDR000,2602000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BFDL39,BRBFDLBDR007,1619000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BFDN39,BRBFDNBDR003,4612000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BFTS39,BRBFTSBDR008,1035000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BFVD39,BRBFVDBDR006,1159000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BFXI39,BRBFXIBDR001,4963000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BGOV39,BRBGOVBDR001,4640000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BGRI39,BRBGRIBDR001,683000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,BGRT39,BRBGRTBDR008,897000.0
