data_captura,data_referencia,periodo,classe,segmento_investidor,tipo_metodologia,metrica,prazo,valor,data
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Captação Líquida Dados Consolidados,EWMA_94,126,0.2102,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PJ,Captação Líquida Dados Consolidados,media_simples,10,0.0833,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PRIVATE,Resgate Dados Consolidados,media_simples,3,0.0258,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PRIVATE,Captação Líquida Dados Consolidados,media_simples,1,0.0014,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,OUTROS,Resgate Dados Consolidados,EWMA_94,1,0.0055,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,OUTROS,Resgate Dados Consolidados,EWMA_94,21,0.1092,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,PJ,Resgate Dados Consolidados,EWMA_97,63,0.3292,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PRIVATE,Resgate Dados Consolidados,EWMA_97,42,0.0341,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_97,2,0.0072,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PJ,Captação Líquida Dados Consolidados,EWMA_97,126,0.1416,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PJ,Captação Líquida Dados Consolidados,EWMA_94,63,0.25,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,EFPC,Resgate Dados Consolidados,media_simples,42,0.0442,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,OUTROS,Captação Líquida Dados Consolidados,EWMA_97,3,0.025,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PJ,Captação Líquida Dados Consolidados,media_simples,4,0.0324,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,VAREJO,Resgate Dados Consolidados,EWMA_97,1,0.002,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,VAREJO,Resgate Dados Consolidados,media_simples,63,0.1332,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,VAREJO,Captação Líquida Dados Consolidados,EWMA_97,21,0.0339,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PRIVATE,Resgate Dados Consolidados,media_simples,21,0.0177,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,INSTITUCIONAIS,Captação Líquida Dados Consolidados,media_simples,63,0.0865,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,INSTITUCIONAIS,Resgate Dados Consolidados,EWMA_97,2,0.0082,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,EFPC,Captação Líquida Dados Consolidados,EWMA_94,1,0.0007,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PJ,Resgate Dados Consolidados,EWMA_94,63,0.1304,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PJ,Captação Líquida Dados Consolidados,EWMA_97,10,0.0361,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PJ,Resgate Dados Consolidados,EWMA_94,42,0.1895,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PRIVATE,Resgate Dados Consolidados,EWMA_97,3,0.0346,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PRIVATE,Captação Líquida Dados Consolidados,media_simples,42,0.3155,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,OUTROS,Captação Líquida Dados Consolidados,EWMA_97,1,0.0014,2026/04/30
2026-06-19,2026-04-30,04/2026,Multimercados,PJ,Resgate Dados Consolidados,EWMA_97,42,0.1095,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,PRIVATE,Captação Líquida Dados Consolidados,EWMA_94,42,0.061,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,OUTROS,Captação Líquida Dados Consolidados,EWMA_94,10,0.0269,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,OUTROS,Captação Líquida Dados Consolidados,EWMA_94,1,0.0013,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,OUTROS,Resgate Dados Consolidados,media_simples,21,0.0784,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PJ,Resgate Dados Consolidados,media_simples,1,0.0193,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,PJ,Captação Líquida Dados Consolidados,EWMA_97,21,0.148,2026/04/30
2026-06-19,2026-04-30,04/2026,RF DI,VAREJO,Resgate Dados Consolidados,media_simples,3,0.0102,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,EFPC,Captação Líquida Dados Consolidados,EWMA_94,3,0.0012,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,EFPC,Captação Líquida Dados Consolidados,EWMA_97,63,0.0265,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa,VAREJO,Resgate Dados Consolidados,EWMA_97,3,0.0059,2026/04/30
2026-06-19,2026-04-30,04/2026,Renda Fixa Crédito,OUTROS,Captação Líquida Dados Consolidados,media_simples,63,0.2206,2026/04/30
2026-06-19,2026-04-30,04/2026,Ações,PJ,Captação Líquida Dados Consolidados,EWMA_97,42,0.0518,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,PJ,Captação Líquida Dados Consolidados,EWMA_97,3,0.0122,2026/04/30
2026-06-19,2026-04-30,04/2026,Cambial,VAREJO,Resgate Dados Consolidados,media_simples,5,0.013,2026/04/30
