data_captura,titulo,vencimento,preco_unitario,preco_retorno,posicao_custodia
2026-06-13,210100,2027-09-01,19180.35467741,0.00000000,2845-29-97
2026-06-13,210100,2028-03-01,19169.27708646,0.00000000,1739-25-43
2026-06-13,210100,2028-09-01,19154.68169159,0.00000000,2035-44-27
2026-06-13,210100,2029-03-01,19137.71398211,0.00000000,1870-20-88
2026-06-13,210100,2029-09-01,19119.60837661,0.00000000,1696-96-86
2026-06-13,210100,2030-03-01,19101.86623456,0.00000000,1402-90-41
2026-06-13,210100,2030-06-01,19092.66547224,0.00000000,1039-95-64
2026-06-13,210100,2030-09-01,19082.04753097,0.00000000,1141-64-73
2026-06-13,210100,2030-12-01,19074.83769706,0.00000000,7592691
2026-06-13,210100,2031-03-01,19063.74696177,0.00000000,1227-23-87
2026-06-13,210100,2031-06-01,19052.85992867,0.00000000,9942990
2026-06-13,210100,2031-09-01,19042.84755199,0.00000000,8487474
2026-06-13,210100,2031-12-01,19022.69486133,0.00000000,6974714
2026-06-13,210100,2032-03-01,19010.76789701,0.00000000,9221040
2026-06-13,210100,2032-06-01,18989.35813104,0.00000000,1250-48-56
2026-06-13,100000,2026-07-01,992.86449813,0.00000000,225969800
2026-06-13,100000,2026-10-01,958.07087561,0.00000000,149459619
2026-06-13,100000,2027-01-01,925.61802941,0.00000000,6125058
2026-06-13,100000,2027-04-01,894.62315833,0.00000000,132909674
2026-06-13,100000,2027-07-01,863.11801013,0.00000000,119630263
2026-06-13,100000,2027-10-01,832.08682316,0.00000000,124138520
2026-06-13,100000,2028-01-01,803.64907025,0.00000000,7728-93-17
2026-06-13,100000,2028-04-01,775.83073167,0.00000000,2835-95-42
2026-06-13,100000,2028-07-01,749.68095755,0.00000000,2984-25-94
2026-06-13,100000,2029-01-01,699.19555466,0.00000000,250307087
2026-06-13,100000,2029-07-01,652.36496110,0.00000000,222222458
2026-06-13,100000,2030-01-01,608.44378557,0.00000000,158256775
2026-06-13,100000,2031-01-01,529.21911393,0.00000000,4958808
2026-06-13,100000,2032-01-01,459.29057918,0.00000000,189198287
2026-06-13,760197,2026-08-15,137.10625055,0.00000000,3587318
2026-06-13,760197,2026-11-15,134.22280037,0.00000000,3859507
2026-06-13,760197,2027-02-15,131.92122239,0.00000000,3067870
2026-06-13,760197,2027-05-15,129.50998211,0.00000000,3859507
2026-06-13,760197,2027-08-15,126.79873901,0.00000000,3067870
2026-06-13,760197,2027-11-15,124.11712509,0.00000000,3848450
2026-06-13,760197,2028-02-15,121.28388056,0.00000000,3067870
