data_captura,data_referencia,codigo_ativo_objeto,total_series,posicao_aberta_call,posicao_aberta_put,posicao_aberta_total,put_call_ratio,posicao_coberta,posicao_descoberta,posicao_trava,strike_max_oi_call,strike_max_oi_put
2026-09-13,2026-08-28,VIVT,272,3385400,7117700,10503100,2.1025,119400,3012200,7371500,31.1,29.6
2026-09-13,2026-08-28,SMFT,172,7027700,2952400,9980100,0.4201,29100,4650600,5300400,17.87,16.12
2026-09-13,2026-08-28,PCAR,47,8249300,1630900,9880200,0.1977,1514700,7485500,880000,3.25,3.0
2026-09-13,2026-08-28,SANB,247,3816700,4961900,8778600,1.3,730100,4472600,3575900,34.12,22.62
2026-09-13,2026-08-28,CMIN,174,5212600,3502200,8714800,0.6719,1063800,4995900,2655100,6.21,5.41
2026-09-13,2026-08-28,IGTI,182,3675800,4710300,8386100,1.2814,62900,7373800,949400,36.79,25.29
2026-09-13,2026-08-28,GOLD,23,2680066,5629381,8309447,2.1005,28200,7270950,1010297,22.0,25.0
2026-09-13,2026-08-28,YDUQ,210,3317400,4387700,7705100,1.3226,307600,3058500,4339000,9.06,8.46
2026-09-13,2026-08-28,IRBR,326,4313900,3017600,7331500,0.6995,754600,2696400,3880500,59.61,38.61
2026-09-13,2026-08-28,JHSF,172,3950100,3289500,7239600,0.8328,451100,4991400,1797100,12.02,10.02
2026-09-13,2026-08-28,QUAL,184,3365400,3729700,7095100,1.1082,510700,5411500,1172900,1.73,1.48
2026-09-13,2026-08-28,LWSA,137,5945100,1038900,6984000,0.1747,1765900,3642900,1575200,4.46,4.26
2026-09-13,2026-08-28,HYPE,292,3682800,3146100,6828900,0.8543,436600,4571400,1820900,22.6,22.6
2026-09-13,2026-08-28,ORVR,16,3298100,2618400,5916500,0.7939,77400,4092700,1746400,20.0,16.75
2026-09-13,2026-08-28,MILS,19,1980700,3867900,5848600,1.9528,260700,1730600,3857300,15.0,11.0
2026-09-13,2026-08-28,ISAE,307,3007800,2727000,5734800,0.9066,824400,2762000,2148400,27.54,25.79
2026-09-13,2026-08-28,MOTV,114,2884400,2847200,5731600,0.9871,138300,2649800,2943500,16.45,13.2
2026-09-13,2026-08-28,SBFG,118,2586500,3065800,5652300,1.1853,44200,5225700,382400,9.91,9.91
2026-09-13,2026-08-28,TIMS,245,2142900,3471800,5614700,1.6201,138700,3504500,1971500,20.35,20.35
2026-09-13,2026-08-28,TEND,148,2462400,2923900,5386300,1.1874,268200,1931600,3186500,35.62,29.62
2026-09-13,2026-08-28,SIMH,246,1836792,3533668,5370460,1.9238,329669,3875107,1165684,13.46,10.1
2026-09-13,2026-08-28,BHIA,151,2473300,2790600,5263900,1.1283,196600,4434400,632900,1.0,3.3
2026-09-13,2026-08-28,CURY,192,2527600,2669600,5197200,1.0562,85100,2341500,2770600,30.37,28.12
2026-09-13,2026-08-28,PSSA,248,2656200,1513400,4169600,0.5698,157300,2434800,1577500,50.45,51.45
2026-09-13,2026-08-28,CBAV,11,2131000,2011200,4142200,0.9438,58500,4078200,5500,11.96,11.96
2026-09-13,2026-08-28,TOTS,302,2116000,1998100,4114100,0.9443,89300,1932000,2092800,35.18,32.18
2026-09-13,2026-08-28,RAPT,179,1912600,2151700,4064300,1.125,176200,3032200,855900,5.0,4.35
2026-09-13,2026-08-28,HBOR,43,1882000,1914400,3796400,1.0172,220000,3516700,59700,4.27,4.27
2026-09-13,2026-08-28,ANIM,117,1840600,1926100,3766700,1.0465,559600,2801800,405300,2.47,1.87
2026-09-13,2026-08-28,BRSR,113,2432100,1262900,3695000,0.5193,495000,2316500,883500,14.99,13.49
2026-09-13,2026-08-28,EZTC,195,1409071,2123186,3532257,1.5068,203211,2717935,611111,17.59,17.59
2026-09-13,2026-08-28,XPBR,203,1883120,1468360,3351480,0.7797,344930,2122380,884170,90.55,90.55
