data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-05,IBXL,IBrX 50,MBRF3,MARFRIG,ON      NM,761175338,0.516,,
2026-06-05,IBXL,IBrX 50,BEEF3,MINERVA,ON      NM,454804863,0.070,,
2026-06-05,IBXL,IBrX 50,MOTV3,MOTIVA SA,ON      NM,1002196725,0.601,,
2026-06-05,IBXL,IBrX 50,MULT3,MULTIPLAN,ON      N2,320022221,0.394,,
2026-06-05,IBXL,IBrX 50,NATU3,NATURA,ON      NM,838359453,0.353,,
2026-06-05,IBXL,IBrX 50,PETR3,PETROBRAS,ON  EJ  N2,3478483761,6.862,,
2026-06-05,IBXL,IBrX 50,PETR4,PETROBRAS,PN  EX  N2,4410960450,7.811,,
2026-06-05,IBXL,IBrX 50,PRIO3,PRIO,ON      NM,757265605,2.035,,
2026-06-05,IBXL,IBrX 50,RADL3,RAIADROGASIL,ON      NM,1313915830,0.988,,
2026-06-05,IBXL,IBrX 50,RDOR3,REDE D OR,ON      NM,1091469308,1.551,,
2026-06-05,IBXL,IBrX 50,RAIL3,RUMO S.A.,ON      NM,1221155293,0.728,,
2026-06-05,IBXL,IBrX 50,SBSP3,SABESP,ON      NM,3506733260,4.099,,
2026-06-05,IBXL,IBrX 50,SMFT3,SMART FIT,ON  EJ  NM,556651316,0.434,,
2026-06-05,IBXL,IBrX 50,SUZB3,SUZANO S.A.,ON      NM,612918471,1.085,,
2026-06-05,IBXL,IBrX 50,VIVT3,TELEF BRASIL,ON  EJ,707125712,1.025,,
2026-06-05,IBXL,IBrX 50,TIMS3,TIM,ON      NM,777451080,0.746,,
2026-06-05,IBXL,IBrX 50,TOTS3,TOTVS,ON      NM,533997411,0.771,,
2026-06-05,IBXL,IBrX 50,UGPA3,ULTRAPAR,ON      NM,1067870496,1.142,,
2026-06-05,IBXL,IBrX 50,VALE3,VALE,ON      NM,4268646710,14.989,,
2026-06-05,IBXL,IBrX 50,VBBR3,VIBRA,ON      NM,1192004780,1.508,,
2026-06-05,IBXL,IBrX 50,WEGE3,WEG,ON      NM,1485954732,2.665,,
2026-06-06,IBXL,IBrX 50,ALOS3,ALLOS,ON      NM,478558715,0.558,,
2026-06-06,IBXL,IBrX 50,ABEV3,AMBEV S/A,ON,4273841357,2.990,,
2026-06-06,IBXL,IBrX 50,ASAI3,ASSAI,ON      NM,1338623499,0.499,,
2026-06-06,IBXL,IBrX 50,AXIA3,AXIA ENERGIA,ON      NM,1863816444,4.093,,
2026-06-06,IBXL,IBrX 50,B3SA3,B3,ON      NM,4997059816,3.332,,
2026-06-06,IBXL,IBrX 50,BBSE3,BBSEGURIDADE,ON      NM,616248544,0.944,,
2026-06-06,IBXL,IBrX 50,BBDC3,BRADESCO,ON  EJ  N1,1464429403,0.959,,
2026-06-06,IBXL,IBrX 50,BBDC4,BRADESCO,PN  EJ  N1,5100889966,3.856,,
2026-06-06,IBXL,IBrX 50,BBAS3,BRASIL,ON  EJ  NM,2842496541,2.358,,
2026-06-06,IBXL,IBrX 50,BRAV3,BRAVA,ON      NM,462883017,0.420,,
