data_captura,data_referencia,codigo_ativo,label,valor
2026-07-28,1985-09-01,FUNCEX12_XPT12,Exportações Preços Índice,50.8
2026-07-28,1985-10-01,FUNCEX12_XPT12,Exportações Preços Índice,51.47
2026-07-28,1985-11-01,FUNCEX12_XPT12,Exportações Preços Índice,50.87
2026-07-28,1985-12-01,FUNCEX12_XPT12,Exportações Preços Índice,51.13
2026-07-28,1986-01-01,FUNCEX12_XPT12,Exportações Preços Índice,51.61
2026-07-28,1986-02-01,FUNCEX12_XPT12,Exportações Preços Índice,55.98
2026-07-28,1986-03-01,FUNCEX12_XPT12,Exportações Preços Índice,56.71
2026-07-28,1986-04-01,FUNCEX12_XPT12,Exportações Preços Índice,54.33
2026-07-28,1986-05-01,FUNCEX12_XPT12,Exportações Preços Índice,54.33
2026-07-28,1986-06-01,FUNCEX12_XPT12,Exportações Preços Índice,52.6
2026-07-28,1986-07-01,FUNCEX12_XPT12,Exportações Preços Índice,51.67
2026-07-28,1986-08-01,FUNCEX12_XPT12,Exportações Preços Índice,52.07
2026-07-28,1986-09-01,FUNCEX12_XPT12,Exportações Preços Índice,52.2
2026-07-28,1986-10-01,FUNCEX12_XPT12,Exportações Preços Índice,54.12
2026-07-28,1986-11-01,FUNCEX12_XPT12,Exportações Preços Índice,54.79
2026-07-28,1986-12-01,FUNCEX12_XPT12,Exportações Preços Índice,54.33
2026-07-28,1987-01-01,FUNCEX12_XPT12,Exportações Preços Índice,53.19
2026-07-28,1987-02-01,FUNCEX12_XPT12,Exportações Preços Índice,52.46
2026-07-28,1987-03-01,FUNCEX12_XPT12,Exportações Preços Índice,51.87
2026-07-28,1987-04-01,FUNCEX12_XPT12,Exportações Preços Índice,51.01
2026-07-28,1987-05-01,FUNCEX12_XPT12,Exportações Preços Índice,51.54
2026-07-28,1987-06-01,FUNCEX12_XPT12,Exportações Preços Índice,53.06
2026-07-28,1987-07-01,FUNCEX12_XPT12,Exportações Preços Índice,54.06
2026-07-28,1987-08-01,FUNCEX12_XPT12,Exportações Preços Índice,57.76
2026-07-28,1987-09-01,FUNCEX12_XPT12,Exportações Preços Índice,57.83
2026-07-28,1987-10-01,FUNCEX12_XPT12,Exportações Preços Índice,54.91
2026-07-28,1987-11-01,FUNCEX12_XPT12,Exportações Preços Índice,54.78
2026-07-28,1987-12-01,FUNCEX12_XPT12,Exportações Preços Índice,53.79
2026-07-28,1988-01-01,FUNCEX12_XPT12,Exportações Preços Índice,55.72
2026-07-28,1988-02-01,FUNCEX12_XPT12,Exportações Preços Índice,56.32
2026-07-28,1988-03-01,FUNCEX12_XPT12,Exportações Preços Índice,57.24
2026-07-28,1988-04-01,FUNCEX12_XPT12,Exportações Preços Índice,58.77
2026-07-28,1988-05-01,FUNCEX12_XPT12,Exportações Preços Índice,59.16
2026-07-28,1988-06-01,FUNCEX12_XPT12,Exportações Preços Índice,59.76
2026-07-28,1988-07-01,FUNCEX12_XPT12,Exportações Preços Índice,61.29
2026-07-28,1988-08-01,FUNCEX12_XPT12,Exportações Preços Índice,62.35
2026-07-28,1988-09-01,FUNCEX12_XPT12,Exportações Preços Índice,62.01
2026-07-28,1988-10-01,FUNCEX12_XPT12,Exportações Preços Índice,62.15
2026-07-28,1988-11-01,FUNCEX12_XPT12,Exportações Preços Índice,62.81
2026-07-28,1988-12-01,FUNCEX12_XPT12,Exportações Preços Índice,61.75
2026-07-28,1989-01-01,FUNCEX12_XPT12,Exportações Preços Índice,62.28
2026-07-28,1989-02-01,FUNCEX12_XPT12,Exportações Preços Índice,61.89
2026-07-28,1989-03-01,FUNCEX12_XPT12,Exportações Preços Índice,62.81
2026-07-28,1989-04-01,FUNCEX12_XPT12,Exportações Preços Índice,63.21
2026-07-28,1989-05-01,FUNCEX12_XPT12,Exportações Preços Índice,61.95
2026-07-28,1989-06-01,FUNCEX12_XPT12,Exportações Preços Índice,62.21
2026-07-28,1989-07-01,FUNCEX12_XPT12,Exportações Preços Índice,61.35
2026-07-28,1989-08-01,FUNCEX12_XPT12,Exportações Preços Índice,61.35
2026-07-28,1989-09-01,FUNCEX12_XPT12,Exportações Preços Índice,60.09
2026-07-28,1989-10-01,FUNCEX12_XPT12,Exportações Preços Índice,59.43
2026-07-28,1989-11-01,FUNCEX12_XPT12,Exportações Preços Índice,58.9
2026-07-28,1989-12-01,FUNCEX12_XPT12,Exportações Preços Índice,60.49
2026-07-28,1990-01-01,FUNCEX12_XPT12,Exportações Preços Índice,57.37
2026-07-28,1990-02-01,FUNCEX12_XPT12,Exportações Preços Índice,57.7
2026-07-28,1990-03-01,FUNCEX12_XPT12,Exportações Preços Índice,58.62
2026-07-28,1990-04-01,FUNCEX12_XPT12,Exportações Preços Índice,59.15
2026-07-28,1990-05-01,FUNCEX12_XPT12,Exportações Preços Índice,59.03
2026-07-28,1990-06-01,FUNCEX12_XPT12,Exportações Preços Índice,60.28
2026-07-28,1990-07-01,FUNCEX12_XPT12,Exportações Preços Índice,60.35
2026-07-28,1990-08-01,FUNCEX12_XPT12,Exportações Preços Índice,60.08
2026-07-28,1990-09-01,FUNCEX12_XPT12,Exportações Preços Índice,61.94
2026-07-28,1990-10-01,FUNCEX12_XPT12,Exportações Preços Índice,63.19
2026-07-28,1990-11-01,FUNCEX12_XPT12,Exportações Preços Índice,60.68
2026-07-28,1990-12-01,FUNCEX12_XPT12,Exportações Preços Índice,61.67
2026-07-28,1991-01-01,FUNCEX12_XPT12,Exportações Preços Índice,60.16
2026-07-28,1991-02-01,FUNCEX12_XPT12,Exportações Preços Índice,58.71
2026-07-28,1991-03-01,FUNCEX12_XPT12,Exportações Preços Índice,59.9
2026-07-28,1991-04-01,FUNCEX12_XPT12,Exportações Preços Índice,59.37
2026-07-28,1991-05-01,FUNCEX12_XPT12,Exportações Preços Índice,59.56
2026-07-28,1991-06-01,FUNCEX12_XPT12,Exportações Preços Índice,58.97
2026-07-28,1991-07-01,FUNCEX12_XPT12,Exportações Preços Índice,59.24
2026-07-28,1991-08-01,FUNCEX12_XPT12,Exportações Preços Índice,58.57
2026-07-28,1991-09-01,FUNCEX12_XPT12,Exportações Preços Índice,59.03
2026-07-28,1991-10-01,FUNCEX12_XPT12,Exportações Preços Índice,58.64
2026-07-28,1991-11-01,FUNCEX12_XPT12,Exportações Preços Índice,57.97
2026-07-28,1991-12-01,FUNCEX12_XPT12,Exportações Preços Índice,56.85
2026-07-28,1992-01-01,FUNCEX12_XPT12,Exportações Preços Índice,57.89
2026-07-28,1992-02-01,FUNCEX12_XPT12,Exportações Preços Índice,58.36
2026-07-28,1992-03-01,FUNCEX12_XPT12,Exportações Preços Índice,57.43
2026-07-28,1992-04-01,FUNCEX12_XPT12,Exportações Preços Índice,58.36
2026-07-28,1992-05-01,FUNCEX12_XPT12,Exportações Preços Índice,56.9
2026-07-28,1992-06-01,FUNCEX12_XPT12,Exportações Preços Índice,56.57
2026-07-28,1992-07-01,FUNCEX12_XPT12,Exportações Preços Índice,56.44
2026-07-28,1992-08-01,FUNCEX12_XPT12,Exportações Preços Índice,57.16
2026-07-28,1992-09-01,FUNCEX12_XPT12,Exportações Preços Índice,56.97
2026-07-28,1992-10-01,FUNCEX12_XPT12,Exportações Preços Índice,56.17
2026-07-28,1992-11-01,FUNCEX12_XPT12,Exportações Preços Índice,55.44
2026-07-28,1992-12-01,FUNCEX12_XPT12,Exportações Preços Índice,55.98
2026-07-28,1993-01-01,FUNCEX12_XPT12,Exportações Preços Índice,51.08
2026-07-28,1993-02-01,FUNCEX12_XPT12,Exportações Preços Índice,52.0
2026-07-28,1993-03-01,FUNCEX12_XPT12,Exportações Preços Índice,51.35
2026-07-28,1993-04-01,FUNCEX12_XPT12,Exportações Preços Índice,52.67
2026-07-28,1993-05-01,FUNCEX12_XPT12,Exportações Preços Índice,50.48
2026-07-28,1993-06-01,FUNCEX12_XPT12,Exportações Preços Índice,51.61
2026-07-28,1993-07-01,FUNCEX12_XPT12,Exportações Preços Índice,52.41
2026-07-28,1993-08-01,FUNCEX12_XPT12,Exportações Preços Índice,53.06
2026-07-28,1993-09-01,FUNCEX12_XPT12,Exportações Preços Índice,54.59
2026-07-28,1993-10-01,FUNCEX12_XPT12,Exportações Preços Índice,54.72
2026-07-28,1993-11-01,FUNCEX12_XPT12,Exportações Preços Índice,53.8
2026-07-28,1993-12-01,FUNCEX12_XPT12,Exportações Preços Índice,54.26
2026-07-28,1994-01-01,FUNCEX12_XPT12,Exportações Preços Índice,54.45
2026-07-28,1994-02-01,FUNCEX12_XPT12,Exportações Preços Índice,56.3
2026-07-28,1994-03-01,FUNCEX12_XPT12,Exportações Preços Índice,54.84
2026-07-28,1994-04-01,FUNCEX12_XPT12,Exportações Preços Índice,55.51
2026-07-28,1994-05-01,FUNCEX12_XPT12,Exportações Preços Índice,56.04
2026-07-28,1994-06-01,FUNCEX12_XPT12,Exportações Preços Índice,56.3
2026-07-28,1994-07-01,FUNCEX12_XPT12,Exportações Preços Índice,57.36
2026-07-28,1994-08-01,FUNCEX12_XPT12,Exportações Preços Índice,58.82
2026-07-28,1994-09-01,FUNCEX12_XPT12,Exportações Preços Índice,60.61
2026-07-28,1994-10-01,FUNCEX12_XPT12,Exportações Preços Índice,62.86
2026-07-28,1994-11-01,FUNCEX12_XPT12,Exportações Preços Índice,62.2
2026-07-28,1994-12-01,FUNCEX12_XPT12,Exportações Preços Índice,64.05
2026-07-28,1995-01-01,FUNCEX12_XPT12,Exportações Preços Índice,64.19
2026-07-28,1995-02-01,FUNCEX12_XPT12,Exportações Preços Índice,64.53
2026-07-28,1995-03-01,FUNCEX12_XPT12,Exportações Preços Índice,65.06
2026-07-28,1995-04-01,FUNCEX12_XPT12,Exportações Preços Índice,65.18
2026-07-28,1995-05-01,FUNCEX12_XPT12,Exportações Preços Índice,65.85
2026-07-28,1995-06-01,FUNCEX12_XPT12,Exportações Preços Índice,66.38
2026-07-28,1995-07-01,FUNCEX12_XPT12,Exportações Preços Índice,67.17
2026-07-28,1995-08-01,FUNCEX12_XPT12,Exportações Preços Índice,67.51
2026-07-28,1995-09-01,FUNCEX12_XPT12,Exportações Preços Índice,66.58
2026-07-28,1995-10-01,FUNCEX12_XPT12,Exportações Preços Índice,67.3
2026-07-28,1995-11-01,FUNCEX12_XPT12,Exportações Preços Índice,67.77
2026-07-28,1995-12-01,FUNCEX12_XPT12,Exportações Preços Índice,67.11
2026-07-28,1996-01-01,FUNCEX12_XPT12,Exportações Preços Índice,66.41
2026-07-28,1996-02-01,FUNCEX12_XPT12,Exportações Preços Índice,66.34
2026-07-28,1996-03-01,FUNCEX12_XPT12,Exportações Preços Índice,66.02
2026-07-28,1996-04-01,FUNCEX12_XPT12,Exportações Preços Índice,66.88
2026-07-28,1996-05-01,FUNCEX12_XPT12,Exportações Preços Índice,66.94
2026-07-28,1996-06-01,FUNCEX12_XPT12,Exportações Preços Índice,66.81
2026-07-28,1996-07-01,FUNCEX12_XPT12,Exportações Preços Índice,66.67
2026-07-28,1996-08-01,FUNCEX12_XPT12,Exportações Preços Índice,66.28
2026-07-28,1996-09-01,FUNCEX12_XPT12,Exportações Preços Índice,66.14
2026-07-28,1996-10-01,FUNCEX12_XPT12,Exportações Preços Índice,65.62
2026-07-28,1996-11-01,FUNCEX12_XPT12,Exportações Preços Índice,65.88
2026-07-28,1996-12-01,FUNCEX12_XPT12,Exportações Preços Índice,65.28
2026-07-28,1997-01-01,FUNCEX12_XPT12,Exportações Preços Índice,63.97
2026-07-28,1997-02-01,FUNCEX12_XPT12,Exportações Preços Índice,65.39
2026-07-28,1997-03-01,FUNCEX12_XPT12,Exportações Preços Índice,65.83
2026-07-28,1997-04-01,FUNCEX12_XPT12,Exportações Preços Índice,66.47
2026-07-28,1997-05-01,FUNCEX12_XPT12,Exportações Preços Índice,66.89
2026-07-28,1997-06-01,FUNCEX12_XPT12,Exportações Preços Índice,66.94
2026-07-28,1997-07-01,FUNCEX12_XPT12,Exportações Preços Índice,66.17
2026-07-28,1997-08-01,FUNCEX12_XPT12,Exportações Preços Índice,66.32
2026-07-28,1997-09-01,FUNCEX12_XPT12,Exportações Preços Índice,66.12
2026-07-28,1997-10-01,FUNCEX12_XPT12,Exportações Preços Índice,65.03
2026-07-28,1997-11-01,FUNCEX12_XPT12,Exportações Preços Índice,65.76
2026-07-28,1997-12-01,FUNCEX12_XPT12,Exportações Preços Índice,65.57
2026-07-28,1998-01-01,FUNCEX12_XPT12,Exportações Preços Índice,65.83
2026-07-28,1998-02-01,FUNCEX12_XPT12,Exportações Preços Índice,64.51
2026-07-28,1998-03-01,FUNCEX12_XPT12,Exportações Preços Índice,64.01
2026-07-28,1998-04-01,FUNCEX12_XPT12,Exportações Preços Índice,62.46
2026-07-28,1998-05-01,FUNCEX12_XPT12,Exportações Preços Índice,61.85
2026-07-28,1998-06-01,FUNCEX12_XPT12,Exportações Preços Índice,61.51
2026-07-28,1998-07-01,FUNCEX12_XPT12,Exportações Preços Índice,61.05
2026-07-28,1998-08-01,FUNCEX12_XPT12,Exportações Preços Índice,60.21
2026-07-28,1998-09-01,FUNCEX12_XPT12,Exportações Preços Índice,59.09
2026-07-28,1998-10-01,FUNCEX12_XPT12,Exportações Preços Índice,58.67
2026-07-28,1998-11-01,FUNCEX12_XPT12,Exportações Preços Índice,58.83
2026-07-28,1998-12-01,FUNCEX12_XPT12,Exportações Preços Índice,59.0
2026-07-28,1999-01-01,FUNCEX12_XPT12,Exportações Preços Índice,57.51
2026-07-28,1999-02-01,FUNCEX12_XPT12,Exportações Preços Índice,56.03
2026-07-28,1999-03-01,FUNCEX12_XPT12,Exportações Preços Índice,54.47
2026-07-28,1999-04-01,FUNCEX12_XPT12,Exportações Preços Índice,53.1
2026-07-28,1999-05-01,FUNCEX12_XPT12,Exportações Preços Índice,52.66
2026-07-28,1999-06-01,FUNCEX12_XPT12,Exportações Preços Índice,52.57
2026-07-28,1999-07-01,FUNCEX12_XPT12,Exportações Preços Índice,52.46
2026-07-28,1999-08-01,FUNCEX12_XPT12,Exportações Preços Índice,52.3
2026-07-28,1999-09-01,FUNCEX12_XPT12,Exportações Preços Índice,52.03
2026-07-28,1999-10-01,FUNCEX12_XPT12,Exportações Preços Índice,52.98
2026-07-28,1999-11-01,FUNCEX12_XPT12,Exportações Preços Índice,53.24
2026-07-28,1999-12-01,FUNCEX12_XPT12,Exportações Preços Índice,53.53
2026-07-28,2000-01-01,FUNCEX12_XPT12,Exportações Preços Índice,54.55
2026-07-28,2000-02-01,FUNCEX12_XPT12,Exportações Preços Índice,54.51
2026-07-28,2000-03-01,FUNCEX12_XPT12,Exportações Preços Índice,55.06
2026-07-28,2000-04-01,FUNCEX12_XPT12,Exportações Preços Índice,54.55
2026-07-28,2000-05-01,FUNCEX12_XPT12,Exportações Preços Índice,55.48
2026-07-28,2000-06-01,FUNCEX12_XPT12,Exportações Preços Índice,55.05
2026-07-28,2000-07-01,FUNCEX12_XPT12,Exportações Preços Índice,56.03
