data_captura,data_referencia,codigo,nome_emissor,dt_repactuacao_vencimento,indice_correcao,tx_compra,tx_venda,tx_indicativa,desvio_padrao,intervalo_indicativo_min,intervalo_indicativo_max,pu,ratio_pu_par_vne,duration,pct_reune,ref_ntnb
2026-06-05,2026-06-03,AZZA11,AZZAS 2154 S.A. (*),2030-03-28,DI + 1.25%,2.3484,0.6571,1.5525,0.1933,1.3591,1.7459,1018.183275,99.2201,661.24,,
2026-06-05,2026-06-03,AZZA12,AZZAS 2154 S.A. (*),2030-08-15,DI + 1.25%,2.5983,1.014,1.7984,0.348,1.4504,2.1465,1027.795161,98.4938,706.94,,
2026-06-05,2026-06-03,BCBF16,BCBF PARTICIPAÇÕES S/A (*) (**),2027-10-07,DI + 1.45%,4.7829,3.0213,3.9726,0.1878,3.7848,4.1605,669.190697,98.0779,198.4,,
2026-06-05,2026-06-03,BCPSA4,CLARO S/A,2027-02-20,DI + 1.2%,0.4944,0.2294,0.3679,0.0302,0.3377,0.3983,1047.947702,100.5595,170.3,,
2026-06-05,2026-06-03,BCPSA6,CLARO S/A,2028-10-10,DI + 0.55%,0.576,0.4,0.4827,0.0404,0.4423,0.5232,1021.70815,100.1362,512.25,,
2026-06-05,2026-06-03,BKBR19,BK BRASIL OPERAÇÃO E ASSESSORIA A RESTAURANTES S/A (*) (**),2027-04-24,DI + 1.9%,1.752,1.5265,1.6212,0.0385,1.5827,1.6598,509.479148,100.2318,212.97,,
2026-06-05,2026-06-03,BRIT11,BRISANET PARTICIPACOES S.A.,2027-08-25,DI + 2%,1.3616,0.8517,1.0889,0.1578,0.9311,1.2468,699.165684,100.6063,170.03,,
2026-06-05,2026-06-03,BRIT12,BRISANET PARTICIPACOES S.A. (*),2030-07-10,DI + 1.6%,1.5674,1.1256,1.3668,0.0211,1.3457,1.388,1066.528937,100.5492,601.04,45,
2026-06-05,2026-06-03,BRKMA6,BRASKEM S/A (*),2029-05-12,DI + 1.75%,--,--,--,--,--,--,500.517688,49.5714,N/D,,
2026-06-05,2026-06-03,BRKMA8,BRASKEM S/A (*),2029-11-09,DI + 1.7%,--,--,--,--,--,--,517.760856,51.25,N/D,,
2026-06-05,2026-06-03,BRKMB6,BRASKEM S/A (*),2032-05-12,DI + 2%,--,--,--,--,--,--,500.781644,49.5898,N/D,,
2026-06-05,2026-06-03,BRKMB8,BRASKEM S/A (*),2032-11-09,DI + 1.95%,--,--,--,--,--,--,512.330483,50.7041,N/D,,
2026-06-05,2026-06-03,BRKPA0,BRK AMBIENTAL PARTICIPACOES S/A (*) (**),2027-04-15,DI + 2.4%,2.6383,2.207,2.4439,0.0666,2.3773,2.5106,398.537103,99.9649,206.67,,
2026-06-05,2026-06-03,BRKPA2,BRK AMBIENTAL PARTICIPACOES S/A (*),2029-02-21,DI + 3.25%,2.8348,2.5172,2.6747,0.0919,2.5827,2.7667,1059.98783,101.2184,546.68,,
2026-06-05,2026-06-03,BRKPA3,BRK AMBIENTAL PARTICIPACOES S/A (*),2029-08-23,DI + 2.93%,2.9094,2.4891,2.7153,0.0818,2.6334,2.7972,1051.787586,100.5207,627.12,,
2026-06-05,2026-06-03,BRKPA4,BRK AMBIENTAL PARTICIPACOES S/A (*),2030-10-15,DI + 1.9%,2.9802,2.6356,2.8004,0.0584,2.742,2.859,991.886849,97.2082,808.8,15,
2026-06-05,2026-06-03,BRMLA1,BR MALLS PARTICIPAÇÕES S/A (*),2031-08-20,DI + 0.63%,0.6321,0.335,0.477,0.0363,0.4407,0.5134,1045.889237,100.5195,858.72,,
2026-06-05,2026-06-03,BRMLB1,BR MALLS PARTICIPAÇÕES S/A (*),2034-08-20,DI + 0.95%,0.7597,0.4353,0.5933,0.0775,0.5158,0.671,1057.937205,101.5878,1124.58,50,
2026-06-05,2026-06-03,BRST14,BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*),2031-05-15,DI + 1.4%,1.9,1.3288,1.6054,0.0115,1.5939,1.6171,1001.535195,99.3895,762.08,,
2026-06-05,2026-06-03,BSA312,B3 S/A - BRASIL. BOLSA. BALCÃO (*) (**),2029-11-05,DI + 0.58%,0.6036,0.3,0.4743,0.0954,0.3788,0.5698,10152.7422,100.2913,697.32,,
2026-06-05,2026-06-03,BSA318,B3 S/A - BRASIL. BOLSA. BALCÃO (*),2029-05-28,DI + 0.62%,0.4477,0.3152,0.3719,0.0344,0.3374,0.4064,1006.551599,100.4306,438.8,,
2026-06-05,2026-06-03,BSA319,B3 S/A - BRASIL. BOLSA. BALCÃO (*),2031-01-08,DI + 0.59%,0.7049,0.3112,0.5373,0.1054,0.4319,0.6429,1059.524506,100.1586,762.09,,
2026-06-05,2026-06-03,BSA3A0,B3 S/A - BRASIL. BOLSA. BALCÃO (*),2030-09-18,DI + 0.45%,0.5431,0.2012,0.3812,0.0445,0.3368,0.4258,1031.446785,100.2018,741.52,,
2026-06-05,2026-06-03,BTGH18,BTG PACTUAL HOLDING S/A (*),2029-12-10,DI + 1.5%,1.3247,1.0184,1.1794,0.0568,1.1226,1.2362,1080.747543,100.6304,501.03,15,
2026-06-05,2026-06-03,CAEC13,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),2032-08-07,DI + 1.37%,1.9081,1.3336,1.5255,0.147,1.3785,1.6725,1041.153929,99.4389,924.4,35,
2026-06-05,2026-06-03,CAEC22,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),2029-06-15,DI + 2.2%,1.3095,1.0804,1.2061,0.0844,1.1218,1.2906,1094.839259,101.8095,463.34,,
2026-06-05,2026-06-03,CAEC32,COMPANHIA DE AGUA E ESGOTO DO CEARA - CAGECE (*),2031-06-15,DI + 2.5%,1.809,0.9761,1.3709,0.2848,1.0861,1.6558,1113.022248,103.362,755.75,,
2026-06-05,2026-06-03,CAMLA1,CAMIL ALIMENTOS S/A,2028-10-30,DI + 1.55%,2.0014,1.3946,1.6771,0.147,1.5301,1.8242,1011.64598,99.7898,423.8,,
2026-06-05,2026-06-03,CAMLB1,CAMIL ALIMENTOS S/A,2028-10-30,DI + 1.55%,1.9254,1.3891,1.6287,0.1094,1.5192,1.7382,1012.456402,99.8698,423.84,,
2026-06-05,2026-06-03,CASN13,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN (*),2028-11-16,DI + 5.5%,3.0913,2.0359,2.5869,0.088,2.4988,2.675,843.036363,103.0475,271.92,,
2026-06-05,2026-06-03,CASN14,COMPANHIA CATARINENSE DE AGUAS E SANEAMENTO - CASAN,2030-04-15,DI + 2.3%,4.028,3.0538,3.2515,0.6658,2.5856,3.9174,990.426035,98.2423,481.54,,
2026-06-05,2026-06-03,CBAN22,CONCESSIONÁRIA ROTA DAS BANDEIRAS S/A (*) (**),2032-07-15,DI + 2%,1.1524,0.7806,0.9559,0.0548,0.9011,1.0108,917.814395,103.2597,789.94,45,
2026-06-05,2026-06-03,CBOH11,CBO HOLDING S.A. (*),2029-08-28,DI + 1.9%,1.7239,1.4,1.5656,0.025,1.5406,1.5907,1007.765908,100.5316,406.74,5,
2026-06-05,2026-06-03,CBRDB8,COMPANHIA BRASILEIRA DE DISTRIBUIÇÃO (*),2028-05-10,DI + 1.95%,--,--,--,--,--,--,N/D,31.285,N/D,,
2026-06-05,2026-06-03,CCROA7,MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A. (*),2029-07-12,DI + 0.75%,0.5121,0.35,0.4394,0.0206,0.4189,0.4601,1062.98378,100.5396,439.53,5,
2026-06-05,2026-06-03,CDAR11,UNIDAS LOCADORA S.A. (*) (**),2027-09-27,DI + 2%,1.8205,1.4812,1.6401,0.04,1.6001,1.6801,1030.913499,100.2699,192.24,,
2026-06-05,2026-06-03,CDES12,VPORTS AUTORIDADE PORTUARIA S/A (*) (**),2031-02-03,DI + 1.4%,1.6441,1.2,1.4023,0.0391,1.3631,1.4415,1042.610149,99.9924,840.7,,
2026-06-05,2026-06-03,CDGS26,COPA ENERGIA S A (*),2032-01-03,DI + 1%,0.931,0.6,0.7882,0.1485,0.6397,0.9368,1068.958568,100.7104,850.62,,
2026-06-05,2026-06-03,CEAB13,C E A MODAS S.A. (*),2027-07-15,DI + 1.8%,1.2285,0.9174,1.0675,0.0536,1.0139,1.1212,1067.223943,100.7264,252.62,35,
2026-06-05,2026-06-03,CEAB14,C E A MODAS S.A. (*),2028-09-15,DI + 0.8%,1.2538,0.7237,0.9705,0.0629,0.9075,1.0335,1027.902419,99.6696,493.43,,
