data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,PNVL3,DIMED,ON      NM,82405671,0.036,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,DIRR3,DIRECIONAL,ON      NM,327091595,0.163,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ECOR3,ECORODOVIAS,ON      NM,328954615,0.092,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,EMBJ3,EMBRAER,ON      NM,711833141,1.938,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ENGI11,ENERGISA,UNT     N2,325503046,0.580,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ENEV3,ENEVA,ON      NM,1913352180,1.819,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,EGIE3,ENGIE BRASIL,ON      NM,357310487,0.439,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,EQTL3,EQUATORIAL,ON  ATZ NM,1247728993,1.784,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,EVEN3,EVEN,ON      NM,185333384,0.040,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,EZTC3,EZTEC,ON      NM,121216090,0.059,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,FESA4,FERBASA,PN      N1,147407600,0.034,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,FLRY3,FLEURY,ON      NM,447150822,0.255,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,FRAS3,FRAS-LE,ON      N1,107111030,0.087,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,GFSA3,GAFISA,ON      NM,193423606,0.008,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,GGBR4,GERDAU,PN      N1,1258208269,1.063,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,GOAU4,GERDAU MET,PN      N1,830837767,0.302,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,GGPS3,GPS,ON      NM,314841214,0.142,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,GRND3,GRENDENE,ON  EDJ NM,236867166,0.036,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,GMAT3,GRUPO MATEUS,ON      NM,457961064,0.073,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,SBFG3,GRUPO SBF,ON      NM,128452352,0.054,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,HAPV3,HAPVIDA,ON      NM,271662290,0.122,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,HBOR3,HELBOR,ON      NM,65595478,0.006,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,HBSA3,HIDROVIAS,ON      NM,543551243,0.065,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,HYPE3,HYPERA,ON      NM,321083946,0.261,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,IGTI11,IGUATEMI S.A,UNT     N1,205800982,0.198,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,INTB3,INTELBRAS,ON      NM,113898409,0.059,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,MYPK3,IOCHP-MAXION,ON      NM,138703243,0.046,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,RANI3,IRANI,ON      NM,100436772,0.030,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,IRBR3,IRBBRASIL RE,ON  EJ  NM,81534304,0.155,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ISAE4,ISA ENERGIA,PN      N1,415568772,0.417,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ITSA4,ITAUSA,PN  EJ  N1,5970738360,2.857,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ITUB3,ITAUUNIBANCO,ON  EJ  N1,456130473,0.678,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,ITUB4,ITAUUNIBANCO,PN  EJ  N1,5349695485,7.944,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,JHSF3,JHSF PART,ON  ED  NM,260721097,0.109,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,JSLG3,JSL,ON      NM,84133393,0.020,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,KEPL3,KEPLER WEBER,ON      NM,173082697,0.045,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,KLBN11,KLABIN S/A,UNT     N2,804572623,0.497,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,LAVV3,LAVVI,ON      NM,74230129,0.032,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,RENT3,LOCALIZA,ON      NM,978479038,1.525,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,LOGG3,LOG COM PROP,ON      NM,51533220,0.052,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,LREN3,LOJAS RENNER,ON      NM,982593716,0.543,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,LWSA3,LWSA,ON      NM,374338847,0.052,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,MDIA3,M.DIASBRANCO,ON  ED  NM,64887799,0.047,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,MGLU3,MAGAZ LUIZA,ON      NM,373155063,0.083,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,POMO3,MARCOPOLO,ON      N2,203825655,0.045,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,POMO4,MARCOPOLO,PN      N2,728266241,0.164,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,MBRF3,MARFRIG,ON      NM,761175338,0.452,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,CASH3,MELIUZ,ON      NM,93078828,0.015,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,LEVE3,METAL LEVE,ON      NM,52865876,0.066,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,MILS3,MILLS,ON      NM,108722880,0.061,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,BEEF3,MINERVA,ON      NM,454804863,0.063,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,MOTV3,MOTIVA SA,ON      NM,1002196725,0.525,,
2026-06-01,IBRA,IBrA - Índice Brasil Amplo,MDNE3,MOURA DUBEUX,ON      NM,62112530,0.065,,
