data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-10,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON  EJ  NM,81534304,0.977,,
2026-06-10,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON  EJ  N1,174982153,1.689,,
2026-06-10,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN  EJ  N1,2052266378,18.821,,
2026-06-10,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,70606588,0.211,,
2026-06-10,IFNC,Índice Financeiro,PSSA3,PORTO SEGURO,ON      NM,178825403,2.035,,
2026-06-10,IFNC,Índice Financeiro,SANB11,SANTANDER BR,UNT,360347199,2.289,,
2026-06-11,IFNC,Índice Financeiro,ABCB4,ABC BRASIL,PN      N2,7636-90-69,0.434,,
2026-06-11,IFNC,Índice Financeiro,B3SA3,B3,ON      NM,4997059816,17.820,,
2026-06-11,IFNC,Índice Financeiro,BRSR6,BANRISUL,PNB     N1,202536440,0.689,,
2026-06-11,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,5.324,,
2026-06-11,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,4723-80-57,0.168,,
2026-06-11,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,4.017,,
2026-06-11,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,16.036,,
2026-06-11,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,12.738,,
2026-06-11,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,13.862,,
2026-06-11,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.597,,
2026-06-11,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON  EJ  NM,8153-43-04,0.983,,
2026-06-11,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON  EJ  N1,174982153,1.732,,
2026-06-11,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN  EJ  N1,2052266378,19.052,,
2026-06-11,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,7060-65-88,0.209,,
2026-06-11,IFNC,Índice Financeiro,PSSA3,PORTO SEGURO,ON      NM,178825403,2.045,,
2026-06-11,IFNC,Índice Financeiro,SANB11,SANTANDER BR,UNT,360347199,2.294,,
2026-06-12,IFNC,Índice Financeiro,ABCB4,ABC BRASIL,PN      N2,7636-90-69,0.433,,
2026-06-12,IFNC,Índice Financeiro,B3SA3,B3,ON      NM,4997059816,17.769,,
2026-06-12,IFNC,Índice Financeiro,BRSR6,BANRISUL,PNB     N1,202536440,0.701,,
2026-06-12,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,5.365,,
2026-06-12,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,4723-80-57,0.165,,
2026-06-12,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,4.016,,
2026-06-12,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,16.040,,
2026-06-12,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,12.707,,
2026-06-12,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,13.889,,
2026-06-12,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.576,,
2026-06-12,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON      NM,8153-43-04,0.976,,
2026-06-12,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON      N1,174982153,1.716,,
2026-06-12,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN      N1,2052266378,19.142,,
2026-06-12,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,7060-65-88,0.211,,
2026-06-12,IFNC,Índice Financeiro,PSSA3,PORTO SEGURO,ON      NM,178825403,2.039,,
2026-06-12,IFNC,Índice Financeiro,SANB11,SANTANDER BR,UNT,360347199,2.255,,
